Text,Label,Num_words,Length_class
"Clay Travis on Feb. 24: “It’s unlikely in my opinion that more than a few hundred at most will die from the coronavirus in the United States.” As of this morning, 16,693 people in the United States have died from the Coronavirus.",INFORMATIVE,42,1
"“People are helping each other fight coronavirus, one Google spreadsheet at a time - Thousands of volunteers in new “mutual aid” groups are bringing groceries, medications, and more to vulnerable strangers.” HTTPURL",UNINFORMATIVE,32,1
"Mike Pompeo calls Coronavirus pandemic a Exercise live on CNN HTTPURL via @USER The US on Monday reported more than 100 coronavirus deaths — marking the first time fatalities hit triple digits in a single day. AND POMPEO CALLS THAT AN ""EXERCISE """,INFORMATIVE,43,1
"Dude, The USA has 217k cases of Corona Virus, with 5,1k deaths. Your focus should be on your country. Don’t you think ?",INFORMATIVE,23,1
BJP MP Dushyant Singh and his mother former Rajasthan chief minister Vasundhara Raje had attended a a party with singer Kanika Kapoor who has tested positive for COVID-19. HTTPURL #COVID19 #coronavirus #KanikaKapoor #DushyantSingh,INFORMATIVE,33,1
"As this #coronavirus spreads throughout America &amp; the death toll mounts, there will be severe backlash against Trump, Pence &amp; the GOP for their lack of action and transparency. No amount of lying will overcome it &amp; it will be the nail in their coffins!",UNINFORMATIVE,45,2
South Korea is desperately trying to find out why scores of cured coronavirus patients tested positive for the disease days later ... health officials do not believe the patients were reinfected or remained infectious HTTPURL,UNINFORMATIVE,35,1
"“Coronavirus impact: Close Taj Mahal till March end, Agra Mayor urges” “people scared of foreigners and looked at them with suspicion, situation could turn nasty and tarnish India's image internationally,"" he said. Not possible to tarnish India further. HTTPURL",UNINFORMATIVE,39,1
"@USER no it's not ridiculous, In France the Basket Ball games are suspended, we have more than 2,300 positives cases and allready 59 People's died, the covid 19 virus is really dangerous",INFORMATIVE,32,1
(Mail Online):How #Cheltenham #Festival has become a hotspot for coronavirus cases : The world-famous Cheltenham racing festival in Gloucestershire went ahead last month despite fears over the spread of the virus which was then .. HTTPURL HTTPURL,UNINFORMATIVE,37,1
Mass graves for up to 10 bodies are being dug in Muslim cemetery where 13-year-old Ismail was buried as Islamic community is devastated by coronavirus pandemic HTTPURL,UNINFORMATIVE,27,1
WATCH: Richard Engel: 'Skeptical' of the decreasing coronavirus cases out of China #MTPDaily HTTPURL HTTPURL,UNINFORMATIVE,15,0
"Update: The Georgia Department of Public Health issued its second report of the day (noon and 7 p.m.) which indicates 555 positive cases of COVID-19 in Georgia and 20 deaths. In Coweta County, 8 cases, 1 death. #Newnan #Senoia #SharpsburgGA HTTPURL HTTPURL",INFORMATIVE,42,1
"Hard Coronavirus Suppression is Needed For A Few Weeks: Tomas Pueyo makes the case that far stronger coronavirus measures are needed today and they should only last a few weeks. There shouldn't be a big peak of infections afterwards, a.. nextbigfuture HTTPURL",UNINFORMATIVE,42,1
"Eight of Canada’s 13 #COVID19 deaths are linked to one long-term care facility in North Vancouver, where more than 50 people in all have contracted the new coronavirus. @USER and @USER looked at how #COVID19 took the Lynn Valley Care Centre: HTTPURL",INFORMATIVE,42,1
"BREAKING: 5,151 confirmed cases of coronavirus in New York City, 29 dead, Mayor De Blasio announces. ""We are now the epicenter of this crisis."" HTTPURL HTTPURL",INFORMATIVE,26,1
"For a detailed epidemiological summary of #COVIDー19 cases in Canada, see HTTPURL Stick to current scientific consensus from reputable news channels. Avoid low-quality, sensationalist news sources and clickbait.",UNINFORMATIVE,28,1
